Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
67,-0.007634,-0.083969,-0.091603,-0.000977,-0.001709,1.007080,0.00,0.00,0.00
68,-0.114504,0.282443,0.076336,-0.001465,-0.007812,1.004639,0.00,0.00,0.00
69,-0.045802,-0.145038,-0.053435,-0.000732,-0.009521,0.998291,0.00,0.00,0.00
70,0.076336,-0.007634,0.083969,-0.000732,-0.005371,1.005371,0.00,0.00,0.00
71,0.053435,0.045802,-0.022901,0.003906,-0.008789,0.998291,0.00,0.00,0.00
72,-0.099237,-0.015267,0.030534,0.003906,-0.010254,0.998047,0.00,0.00,0.00
73,0.030534,0.221374,0.053435,0.000977,-0.005371,1.005615,0.00,0.00,0.00
74,0.091603,-0.175573,0.091603,0.007080,-0.006348,0.992188,0.00,0.00,0.00
75,0.038168,-0.160305,0.114504,0.001709,-0.007812,1.003174,0.00,0.00,0.00
76,0.236641,-0.015267,0.007634,0.002441,-0.003174,1.004639,0.00,0.00,0.00
77,0.114504,-0.152672,0.015267,0.001465,-0.004883,1.000732,0.00,0.00,0.00
78,0.122137,-0.083969,-0.114504,0.000000,-0.005859,1.006592,0.00,0.00,0.00
79,0.053435,-0.236641,-0.015267,0.008545,-0.006836,0.997803,0.00,0.00,0.00
80,-0.053435,-0.015267,-0.007634,-0.004150,-0.003906,1.003418,0.00,0.00,0.00
81,-0.068702,0.068702,-0.129771,0.001221,-0.010498,0.992676,0.00,0.00,0.00
82,-0.007634,-0.137405,0.076336,0.005127,-0.007812,0.998291,0.00,0.00,0.00
83,0.160305,0.183206,0.122137,0.001709,-0.007080,0.998779,0.00,0.00,0.00
84,0.045802,-0.045802,0.038168,-0.000244,-0.007568,0.994873,0.00,0.00,0.00
85,-0.129771,0.053435,-0.030534,0.000977,-0.009277,0.998535,0.00,0.00,0.00
86,-0.175573,0.183206,-0.129771,0.005371,-0.002930,0.994629,0.00,0.00,0.00
87,-0.145038,-0.183206,-0.030534,0.000488,-0.006104,1.003418,0.00,0.00,0.00
88,-0.038168,0.106870,-0.038168,0.005127,-0.010742,0.994873,0.00,0.00,0.00
89,-0.099237,-0.030534,0.083969,0.002197,-0.008057,0.998535,0.00,0.00,0.00
90,0.160305,0.068702,-0.099237,-0.003418,-0.006104,1.004150,0.00,0.00,0.00
91,0.038168,0.083969,0.106870,0.005859,-0.006592,0.997559,0.00,0.00,0.00
92,-0.030534,-0.152672,-0.038168,0.001221,-0.008301,0.998291,0.00,0.00,0.00
93,0.038168,0.099237,0.190840,0.001221,-0.008545,0.999268,0.00,0.00,0.00
94,0.167939,-0.206107,-0.137405,-0.000977,-0.004883,0.994385,0.00,0.00,0.00
95,-0.015267,-0.106870,0.206107,0.000977,-0.013672,0.996826,0.00,0.00,0.00
96,-0.083969,-0.022901,-0.061069,0.008057,-0.009277,0.999023,0.00,0.00,0.00
97,-0.038168,-0.305344,-0.053435,0.007324,-0.005371,1.001465,0.00,0.00,0.00
98,0.145038,-0.061069,-0.030534,0.001221,-0.007568,1.004395,0.00,0.00,0.00
