Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.152672,-0.152672,-0.160305,-0.233643,-0.562988,0.769287,0.00,0.00,0.00
2,-0.015267,-0.129771,-0.198473,-0.237305,-0.565918,0.772705,0.00,0.00,0.00
3,-0.076336,-0.061069,-0.274809,-0.237549,-0.565430,0.785645,0.00,0.00,0.00
4,-0.030534,0.022901,-0.366412,-0.229736,-0.568115,0.773193,0.00,0.00,0.00
5,-0.175573,-0.015267,-0.229008,-0.238770,-0.564697,0.766113,0.00,0.00,0.00
6,0.015267,0.076336,-0.221374,-0.239502,-0.564209,0.771973,0.00,0.00,0.00
7,-0.221374,-0.198473,-0.099237,-0.231445,-0.567139,0.779541,0.00,0.00,0.00
8,-0.053435,0.083969,-0.152672,-0.237793,-0.562012,0.774658,0.00,0.00,0.00
9,-0.076336,-0.175573,-0.206107,-0.242676,-0.565918,0.761963,0.00,0.00,0.00
10,-0.137405,-0.145038,-0.213740,-0.230713,-0.563721,0.772461,0.00,0.00,0.00
11,-0.053435,-0.015267,-0.076336,-0.239258,-0.568115,0.768066,0.00,0.00,0.00
12,-0.206107,-0.236641,-0.236641,-0.232666,-0.568115,0.775391,0.00,0.00,0.00
13,-0.114504,0.015267,-0.145038,-0.236084,-0.566406,0.771484,0.00,0.00,0.00
14,-0.229008,0.022901,-0.076336,-0.237305,-0.566162,0.768555,0.00,0.00,0.00
15,-0.167939,-0.091603,-0.206107,-0.241211,-0.566895,0.765625,0.00,0.00,0.00
16,-0.137405,-0.015267,-0.229008,-0.228516,-0.562256,0.781982,0.00,0.00,0.00
17,0.030534,-0.099237,-0.175573,-0.234375,-0.564941,0.771240,0.00,0.00,0.00
18,0.053435,-0.030534,-0.213740,-0.241455,-0.567139,0.767822,0.00,0.00,0.00
19,-0.068702,0.000000,-0.282443,-0.239258,-0.564453,0.768066,0.00,0.00,0.00
20,-0.007634,-0.030534,-0.137405,-0.234619,-0.569336,0.770752,0.00,0.00,0.00
21,-0.083969,-0.251908,-0.282443,-0.236328,-0.565186,0.780029,0.00,0.00,0.00
22,0.099237,-0.038168,-0.389313,-0.236816,-0.566162,0.780518,0.00,0.00,0.00
23,0.045802,-0.190840,-0.221374,-0.231689,-0.570068,0.771484,0.00,0.00,0.00
24,0.015267,-0.022901,-0.206107,-0.239014,-0.564453,0.778076,0.00,0.00,0.00
25,-0.053435,-0.030534,-0.206107,-0.238281,-0.563232,0.771973,0.00,0.00,0.00
26,-0.160305,-0.114504,-0.290076,-0.242676,-0.566650,0.767090,0.00,0.00,0.00
27,-0.106870,0.061069,-0.229008,-0.233398,-0.565186,0.771240,0.00,0.00,0.00
28,0.053435,-0.068702,-0.129771,-0.238281,-0.566895,0.778564,0.00,0.00,0.00
29,-0.045802,-0.083969,-0.198473,-0.236816,-0.566895,0.771484,0.00,0.00,0.00
30,0.015267,-0.129771,-0.381679,-0.230225,-0.566895,0.775635,0.00,0.00,0.00
31,0.000000,-0.122137,-0.229008,-0.234375,-0.559814,0.767822,0.00,0.00,0.00
32,-0.099237,0.038168,-0.282443,-0.240234,-0.566650,0.770020,0.00,0.00,0.00
33,-0.061069,-0.076336,-0.320611,-0.234131,-0.567871,0.769775,0.00,0.00,0.00
34,-0.068702,-0.068702,-0.198473,-0.237549,-0.562256,0.772949,0.00,0.00,0.00
35,-0.198473,-0.038168,-0.137405,-0.241211,-0.569580,0.770020,0.00,0.00,0.00
36,-0.091603,0.015267,0.038168,-0.244141,-0.563965,0.771240,0.00,0.00,0.00
37,-0.229008,-0.198473,-0.183206,-0.236084,-0.568604,0.768066,0.00,0.00,0.00
38,-0.129771,-0.083969,-0.114504,-0.231445,-0.565430,0.768799,0.00,0.00,0.00
39,-0.076336,-0.122137,0.015267,-0.236328,-0.564453,0.771729,0.00,0.00,0.00
40,-0.175573,-0.061069,-0.290076,-0.240479,-0.565430,0.770264,0.00,0.00,0.00
41,-0.091603,0.045802,-0.114504,-0.233398,-0.565430,0.765869,0.00,0.00,0.00
