Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.198473,-0.038168,-0.030534,-0.265869,-0.541016,0.781006,0.00,0.00,0.00
2,-0.251908,0.129771,0.076336,-0.257324,-0.538086,0.791260,0.00,0.00,0.00
3,-0.015267,0.244275,0.022901,-0.260254,-0.539551,0.794434,0.00,0.00,0.00
4,-0.045802,0.083969,-0.030534,-0.261963,-0.540771,0.789551,0.00,0.00,0.00
5,0.000000,-0.022901,-0.015267,-0.260498,-0.545410,0.792480,0.00,0.00,0.00
6,-0.160305,-0.053435,-0.045802,-0.260498,-0.535889,0.787109,0.00,0.00,0.00
7,-0.236641,0.076336,0.030534,-0.255127,-0.539795,0.794189,0.00,0.00,0.00
8,-0.091603,0.145038,0.068702,-0.257812,-0.537842,0.788330,0.00,0.00,0.00
9,-0.015267,0.152672,0.007634,-0.262207,-0.535156,0.790283,0.00,0.00,0.00
10,-0.282443,0.053435,-0.030534,-0.258789,-0.539795,0.789307,0.00,0.00,0.00
11,-0.061069,0.045802,-0.091603,-0.262451,-0.542480,0.791992,0.00,0.00,0.00
12,-0.206107,0.038168,0.137405,-0.254883,-0.536865,0.784424,0.00,0.00,0.00
13,-0.290076,0.175573,-0.099237,-0.264160,-0.540283,0.794434,0.00,0.00,0.00
14,-0.259542,0.137405,-0.061069,-0.268311,-0.542969,0.792725,0.00,0.00,0.00
15,-0.114504,0.213740,-0.030534,-0.255859,-0.540039,0.782227,0.00,0.00,0.00
16,-0.305344,0.183206,0.061069,-0.264648,-0.540771,0.786133,0.00,0.00,0.00
17,-0.206107,0.122137,-0.106870,-0.254883,-0.541016,0.787842,0.00,0.00,0.00
18,-0.099237,0.221374,-0.106870,-0.257324,-0.544678,0.790527,0.00,0.00,0.00
19,-0.068702,0.083969,-0.160305,-0.262451,-0.541016,0.787354,0.00,0.00,0.00
20,-0.091603,0.038168,-0.137405,-0.257324,-0.541016,0.787598,0.00,0.00,0.00
21,0.007634,0.045802,-0.160305,-0.260498,-0.538330,0.784668,0.00,0.00,0.00
22,-0.190840,0.015267,-0.061069,-0.260010,-0.538818,0.794922,0.00,0.00,0.00
