Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,0.007634,-0.160305,-0.221374,-0.267578,-0.551270,0.784424,0.00,0.00,0.00
2,0.091603,-0.229008,-0.190840,-0.271484,-0.551270,0.782959,0.00,0.00,0.00
3,0.106870,-0.396947,-0.114504,-0.266113,-0.550049,0.772949,0.00,0.00,0.00
4,0.190840,-0.335878,-0.152672,-0.265381,-0.546875,0.774414,0.00,0.00,0.00
5,-0.038168,-0.450382,-0.450382,-0.265137,-0.548340,0.772705,0.00,0.00,0.00
6,0.106870,-0.419847,-0.366412,-0.263672,-0.546875,0.777100,0.00,0.00,0.00
7,0.061069,-0.328244,-0.290076,-0.271973,-0.549805,0.774170,0.00,0.00,0.00
8,0.145038,-0.389313,-0.282443,-0.270264,-0.541504,0.784668,0.00,0.00,0.00
9,0.183206,-0.366412,-0.251908,-0.258301,-0.549316,0.776611,0.00,0.00,0.00
10,0.183206,-0.404580,-0.282443,-0.262451,-0.545166,0.774658,0.00,0.00,0.00
11,0.259542,-0.351145,-0.381679,-0.267090,-0.552002,0.780518,0.00,0.00,0.00
12,0.000000,-0.335878,-0.267176,-0.261963,-0.553711,0.783203,0.00,0.00,0.00
13,0.160305,-0.366412,-0.236641,-0.263428,-0.550781,0.782471,0.00,0.00,0.00
14,0.236641,-0.458015,-0.282443,-0.269043,-0.548828,0.789062,0.00,0.00,0.00
15,0.183206,-0.229008,-0.320611,-0.267090,-0.549316,0.773193,0.00,0.00,0.00
16,0.137405,-0.480916,-0.328244,-0.261230,-0.551758,0.775146,0.00,0.00,0.00
17,0.244275,-0.297710,-0.229008,-0.272949,-0.545654,0.775391,0.00,0.00,0.00
18,0.099237,-0.229008,-0.358779,-0.262939,-0.547607,0.787109,0.00,0.00,0.00
19,0.122137,-0.251908,-0.213740,-0.268311,-0.553467,0.785889,0.00,0.00,0.00
20,0.129771,-0.190840,-0.274809,-0.264404,-0.552246,0.773193,0.00,0.00,0.00
21,0.038168,-0.267176,-0.251908,-0.263672,-0.549805,0.779053,0.00,0.00,0.00
22,-0.038168,-0.267176,-0.251908,-0.267090,-0.551758,0.781494,0.00,0.00,0.00
23,0.083969,-0.213740,-0.175573,-0.265625,-0.546387,0.781982,0.00,0.00,0.00
24,-0.083969,-0.297710,-0.160305,-0.263672,-0.550781,0.776611,0.00,0.00,0.00
25,0.129771,-0.305344,-0.114504,-0.265869,-0.546387,0.774658,0.00,0.00,0.00
26,0.015267,-0.221374,-0.167939,-0.258789,-0.549316,0.773682,0.00,0.00,0.00
27,0.152672,-0.366412,-0.152672,-0.271729,-0.551025,0.783936,0.00,0.00,0.00
28,0.083969,-0.190840,-0.129771,-0.267334,-0.553711,0.775635,0.00,0.00,0.00
29,0.038168,-0.198473,-0.114504,-0.269775,-0.549072,0.784180,0.00,0.00,0.00
30,0.022901,-0.099237,-0.290076,-0.266846,-0.551758,0.772949,0.00,0.00,0.00
31,-0.038168,-0.259542,-0.030534,-0.266357,-0.553955,0.776855,0.00,0.00,0.00
32,0.160305,-0.381679,-0.145038,-0.261963,-0.545654,0.779541,0.00,0.00,0.00
33,0.190840,-0.259542,-0.267176,-0.266846,-0.545898,0.773438,0.00,0.00,0.00
34,0.091603,-0.290076,-0.213740,-0.264160,-0.545166,0.778809,0.00,0.00,0.00
35,0.106870,-0.396947,-0.183206,-0.267090,-0.546143,0.775146,0.00,0.00,0.00
36,-0.068702,-0.343511,-0.083969,-0.267090,-0.550293,0.776367,0.00,0.00,0.00
