Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
64,-0.267176,0.091603,-0.206107,0.022705,-0.988525,-0.105469,0.00,0.00,0.00
65,-0.335878,0.129771,-0.167939,0.023193,-0.988281,-0.113037,0.00,0.00,0.00
66,-0.213740,-0.015267,-0.160305,0.029785,-0.986816,-0.096680,0.00,0.00,0.00
67,-0.068702,-0.015267,-0.198473,0.030029,-0.985107,-0.111084,0.00,0.00,0.00
68,-0.274809,-0.106870,-0.022901,0.032959,-0.982422,-0.110596,0.00,0.00,0.00
69,-0.259542,-0.137405,-0.183206,0.030029,-0.990967,-0.100342,0.00,0.00,0.00
70,-0.335878,-0.106870,-0.091603,0.023438,-0.986328,-0.099854,0.00,0.00,0.00
71,-0.229008,-0.190840,-0.244275,0.029541,-0.990723,-0.107178,0.00,0.00,0.00
72,-0.396947,-0.106870,-0.221374,0.022217,-0.984619,-0.106445,0.00,0.00,0.00
73,-0.450382,-0.106870,-0.106870,0.030273,-0.987305,-0.104248,0.00,0.00,0.00
74,-0.358779,-0.160305,-0.282443,0.031250,-0.990479,-0.099365,0.00,0.00,0.00
75,-0.236641,-0.091603,0.038168,0.023438,-0.988037,-0.094727,0.00,0.00,0.00
76,-0.221374,-0.122137,0.007634,0.026367,-0.986328,-0.118896,0.00,0.00,0.00
77,-0.229008,-0.045802,-0.076336,0.028320,-0.991211,-0.105957,0.00,0.00,0.00
78,-0.099237,-0.129771,-0.022901,0.032227,-0.980957,-0.103516,0.00,0.00,0.00
79,-0.312977,0.045802,0.190840,0.025879,-0.982422,-0.108643,0.00,0.00,0.00
80,-0.190840,0.160305,0.000000,0.026123,-0.988037,-0.106934,0.00,0.00,0.00
81,-0.053435,0.045802,-0.007634,0.029053,-0.988037,-0.107422,0.00,0.00,0.00
