Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.022901,-0.007634,0.068702,-0.285645,-0.571289,0.756348,0.00,0.00,0.00
2,-0.015267,0.045802,-0.076336,-0.294678,-0.567139,0.764160,0.00,0.00,0.00
3,-0.099237,0.000000,-0.152672,-0.288330,-0.564941,0.755371,0.00,0.00,0.00
4,-0.099237,0.053435,-0.030534,-0.290527,-0.569824,0.757080,0.00,0.00,0.00
5,0.038168,0.061069,-0.160305,-0.287109,-0.567871,0.753174,0.00,0.00,0.00
6,0.106870,0.091603,-0.053435,-0.293945,-0.566406,0.753418,0.00,0.00,0.00
7,0.045802,0.160305,-0.129771,-0.287598,-0.558594,0.760986,0.00,0.00,0.00
8,-0.106870,0.053435,0.038168,-0.285400,-0.564697,0.759521,0.00,0.00,0.00
9,0.152672,0.152672,-0.053435,-0.295410,-0.563721,0.747559,0.00,0.00,0.00
10,0.068702,0.007634,-0.099237,-0.291992,-0.568604,0.764160,0.00,0.00,0.00
11,0.007634,-0.068702,-0.099237,-0.292480,-0.564453,0.763184,0.00,0.00,0.00
12,-0.099237,0.083969,-0.221374,-0.288330,-0.566650,0.762939,0.00,0.00,0.00
13,0.152672,-0.076336,-0.198473,-0.287109,-0.566406,0.760742,0.00,0.00,0.00
14,0.183206,-0.099237,-0.229008,-0.288818,-0.562988,0.762939,0.00,0.00,0.00
15,0.099237,-0.190840,-0.183206,-0.288086,-0.564453,0.752441,0.00,0.00,0.00
16,0.030534,-0.068702,-0.167939,-0.285156,-0.563232,0.759277,0.00,0.00,0.00
17,0.122137,-0.106870,-0.099237,-0.288574,-0.563965,0.756836,0.00,0.00,0.00
18,0.045802,-0.213740,-0.305344,-0.284912,-0.568604,0.752930,0.00,0.00,0.00
19,0.045802,-0.183206,-0.229008,-0.288574,-0.564697,0.763184,0.00,0.00,0.00
20,0.122137,-0.244275,-0.183206,-0.289062,-0.571533,0.758057,0.00,0.00,0.00
