Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
66,0.04580,0.15267,-0.24427,0.08789,-0.06470,0.98657,0.00,0.00,0.00
67,-0.10687,-0.05344,-0.19084,0.09473,-0.07153,0.99170,0.00,0.00,0.00
68,-0.10687,0.18321,-0.21374,0.09204,-0.07446,0.99243,0.00,0.00,0.00
69,0.10687,-0.08397,0.02290,0.09497,-0.06860,0.98877,0.00,0.00,0.00
70,-0.17557,0.08397,-0.08397,0.09351,-0.06445,0.98560,0.00,0.00,0.00
71,-0.04580,0.06870,-0.22137,0.08521,-0.06885,0.99121,0.00,0.00,0.00
72,-0.18321,0.15267,-0.32061,0.08838,-0.07349,0.98633,0.00,0.00,0.00
73,-0.06870,0.18321,-0.27481,0.09424,-0.07446,0.99805,0.00,0.00,0.00
74,-0.08397,0.22137,-0.18321,0.08936,-0.07520,0.98730,0.00,0.00,0.00
75,-0.26718,0.16794,-0.03053,0.08813,-0.07031,0.99292,0.00,0.00,0.00
76,-0.16794,-0.06870,-0.24427,0.09277,-0.07031,0.98755,0.00,0.00,0.00
77,-0.23664,0.09160,-0.07634,0.08569,-0.07056,0.98437,0.00,0.00,0.00
78,-0.20611,0.16031,-0.20611,0.09131,-0.06494,0.98413,0.00,0.00,0.00
79,0.13740,0.09160,-0.15267,0.09180,-0.06812,0.99365,0.00,0.00,0.00
80,-0.10687,0.15267,-0.19847,0.09180,-0.07080,0.99414,0.00,0.00,0.00
81,-0.12977,0.15267,-0.15267,0.08691,-0.07275,0.99512,0.00,0.00,0.00
82,0.04580,0.19084,-0.09924,0.08667,-0.06885,0.98633,0.00,0.00,0.00
83,-0.01527,-0.12214,0.00763,0.08716,-0.07300,0.98535,0.00,0.00,0.00
84,-0.03817,-0.04580,-0.17557,0.08521,-0.06885,0.99194,0.00,0.00,0.00
85,0.12977,-0.06107,-0.40458,0.08521,-0.06763,0.99097,0.00,0.00,0.00
86,0.00763,-0.03053,-0.26718,0.09253,-0.07227,0.98535,0.00,0.00,0.00
87,-0.11450,-0.07634,-0.12214,0.09106,-0.06860,0.98779,0.00,0.00,0.00
88,0.00000,-0.12214,-0.19084,0.08252,-0.08032,0.98901,0.00,0.00,0.00
89,-0.29008,0.20611,-0.10687,0.08936,-0.07031,0.98242,0.00,0.00,0.00
90,-0.06107,-0.02290,-0.10687,0.08911,-0.07300,0.99292,0.00,0.00,0.00
91,-0.07634,0.09160,-0.22901,0.09204,-0.06909,0.99146,0.00,0.00,0.00
92,-0.15267,0.18321,-0.13740,0.08789,-0.06934,0.98535,0.00,0.00,0.00
93,0.00763,0.15267,-0.22901,0.08911,-0.07104,0.99438,0.00,0.00,0.00
94,0.01527,0.06107,0.02290,0.08789,-0.06763,1.00171,0.00,0.00,0.00
95,-0.00763,-0.05344,-0.07634,0.08789,-0.07129,0.98608,0.00,0.00,0.00
96,-0.10687,0.12977,-0.21374,0.09155,-0.07324,0.98535,0.00,0.00,0.00
97,0.05344,0.01527,-0.18321,0.09229,-0.07227,0.99487,0.00,0.00,0.00
98,0.12214,0.30534,-0.05344,0.09424,-0.07251,0.98120,0.00,0.00,0.00
99,0.05344,-0.06870,-0.12214,0.09424,-0.07349,0.99023,0.00,0.00,0.00
100,0.05344,-0.02290,-0.05344,0.09277,-0.07373,0.98877,0.00,0.00,0.00
101,0.09924,0.07634,-0.22137,0.09009,-0.06836,0.99243,0.00,0.00,0.00
102,0.02290,-0.19847,-0.02290,0.08911,-0.07104,0.99341,0.00,0.00,0.00
103,-0.17557,-0.12977,-0.07634,0.08789,-0.07104,0.98462,0.00,0.00,0.00
104,-0.07634,0.12977,-0.24427,0.08936,-0.07202,0.98657,0.00,0.00,0.00
105,-0.03053,-0.06870,-0.20611,0.09180,-0.07275,0.99756,0.00,0.00,0.00
106,0.06107,-0.00763,-0.15267,0.08960,-0.07056,0.99097,0.00,0.00,0.00
107,0.12977,-0.13740,-0.09924,0.09058,-0.07593,0.99316,0.00,0.00,0.00
108,-0.12977,0.10687,-0.15267,0.08667,-0.06885,0.98633,0.00,0.00,0.00
109,-0.12977,-0.06870,-0.25191,0.08960,-0.07495,0.98413,0.00,0.00,0.00
110,-0.06107,0.03053,-0.15267,0.08960,-0.07275,0.99536,0.00,0.00,0.00
111,-0.02290,-0.02290,-0.13740,0.08911,-0.07446,0.99097,0.00,0.00,0.00
112,-0.21374,0.00000,-0.25954,0.09277,-0.07080,0.98853,0.00,0.00,0.00
113,0.10687,0.11450,-0.06870,0.09521,-0.06958,0.99536,0.00,0.00,0.00
114,-0.04580,-0.04580,-0.09160,0.08838,-0.07373,0.99878,0.00,0.00,0.00
115,-0.04580,0.08397,-0.10687,0.08130,-0.06714,0.99634,0.00,0.00,0.00
116,0.09924,-0.18321,-0.32061,0.09351,-0.07495,0.99341,0.00,0.00,0.00
117,0.08397,-0.26718,-0.24427,0.08936,-0.06812,0.98267,0.00,0.00,0.00
118,0.23664,0.06107,0.00763,0.08325,-0.06787,0.99390,0.00,0.00,0.00
119,0.09160,0.03053,-0.12977,0.09644,-0.07861,0.98340,0.00,0.00,0.00
120,0.09924,-0.13740,-0.29771,0.08667,-0.07300,0.99194,0.00,0.00,0.00
121,0.04580,-0.04580,-0.16031,0.09351,-0.07373,0.99023,0.00,0.00,0.00
122,0.07634,-0.06870,-0.02290,0.09106,-0.07568,0.98853,0.00,0.00,0.00
123,-0.18321,0.00000,-0.18321,0.09302,-0.07544,0.99390,0.00,0.00,0.00
124,0.10687,-0.03817,-0.01527,0.09326,-0.07129,0.99341,0.00,0.00,0.00
125,0.07634,0.04580,-0.17557,0.09033,-0.06860,0.98145,0.00,0.00,0.00
126,-0.00763,0.12977,-0.06870,0.09229,-0.07666,0.98535,0.00,0.00,0.00
127,-0.28244,0.00000,-0.08397,0.08667,-0.07617,0.99072,0.00,0.00,0.00
128,0.01527,0.12977,0.00763,0.09473,-0.07104,0.99292,0.00,0.00,0.00
129,-0.00763,0.18321,-0.14504,0.08960,-0.07715,0.98975,0.00,0.00,0.00
130,-0.08397,-0.19847,-0.19847,0.08765,-0.07422,0.98633,0.00,0.00,0.00
131,-0.03817,-0.02290,-0.10687,0.09204,-0.07349,0.99170,0.00,0.00,0.00
132,-0.00763,-0.02290,0.01527,0.08032,-0.07837,0.98657,0.00,0.00,0.00
133,-0.06870,-0.15267,-0.06870,0.09009,-0.07129,0.99341,0.00,0.00,0.00
134,0.09160,-0.37405,-0.03053,0.09180,-0.07178,0.99927,0.00,0.00,0.00
135,0.15267,-0.02290,-0.12977,0.09033,-0.06714,0.98779,0.00,0.00,0.00
