Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.11450,-0.14504,0.18321,0.01807,-0.16162,0.98877,0.00,0.00,0.00
2,-0.04580,-0.22137,-0.19084,0.01440,-0.15381,0.98682,0.00,0.00,0.00
3,-0.01527,-0.16031,-0.09924,0.01489,-0.16162,0.98218,0.00,0.00,0.00
4,-0.02290,-0.09924,-0.18321,0.02271,-0.15845,0.98682,0.00,0.00,0.00
5,0.05344,0.05344,-0.20611,0.01392,-0.15918,0.98584,0.00,0.00,0.00
6,0.16794,-0.11450,-0.06107,0.01953,-0.15991,0.98804,0.00,0.00,0.00
7,0.08397,0.02290,-0.10687,0.01343,-0.15845,0.98950,0.00,0.00,0.00
8,0.11450,-0.14504,-0.24427,0.01270,-0.16089,0.98779,0.00,0.00,0.00
9,0.21374,-0.25954,0.06107,0.01904,-0.15430,0.98730,0.00,0.00,0.00
10,0.46565,-0.18321,0.10687,0.01489,-0.15747,0.99243,0.00,0.00,0.00
11,0.25191,-0.25191,0.16794,0.01611,-0.15479,0.98340,0.00,0.00,0.00
12,0.20611,-0.37405,-0.06870,0.01416,-0.15771,0.98193,0.00,0.00,0.00
13,0.48092,-0.78626,0.01527,0.01245,-0.15723,0.98950,0.00,0.00,0.00
14,0.58015,-0.29771,0.05344,0.01514,-0.15698,0.97681,0.00,0.00,0.00
15,0.12214,-0.30534,0.23664,0.01685,-0.15942,0.98242,0.00,0.00,0.00
16,0.50382,-0.24427,0.05344,0.02026,-0.15405,0.97656,0.00,0.00,0.00
17,0.30534,-0.61069,0.06107,0.00928,-0.15845,0.98267,0.00,0.00,0.00
18,0.37405,-0.22137,-0.10687,0.01855,-0.15186,0.98242,0.00,0.00,0.00
19,0.20611,-0.29008,0.04580,0.01294,-0.15649,0.98389,0.00,0.00,0.00
20,0.23664,-0.49618,-0.11450,0.01343,-0.15552,0.98706,0.00,0.00,0.00
21,0.49618,-0.43511,-0.16794,0.01196,-0.15479,0.98462,0.00,0.00,0.00
22,0.29771,-0.46565,-0.09924,0.01978,-0.15625,0.98145,0.00,0.00,0.00
23,0.25191,-0.30534,0.03053,0.01929,-0.15869,0.98682,0.00,0.00,0.00
24,0.17557,-0.23664,-0.27481,0.01318,-0.14917,0.98828,0.00,0.00,0.00
25,0.05344,-0.20611,0.00000,0.01050,-0.15308,0.98096,0.00,0.00,0.00
26,0.12214,-0.29008,-0.17557,0.01343,-0.15308,0.98584,0.00,0.00,0.00
27,0.21374,-0.25954,-0.07634,0.01172,-0.15723,0.98047,0.00,0.00,0.00
28,0.06107,-0.30534,0.03817,0.01636,-0.15894,0.99194,0.00,0.00,0.00
29,0.10687,-0.03053,-0.19084,0.01562,-0.15210,0.98730,0.00,0.00,0.00
30,0.08397,-0.06870,-0.06107,0.01099,-0.15234,0.98950,0.00,0.00,0.00
